RAW DATA,lables
ARM Cortex-M. Experience,technical
both simulated and hardware test networks,technical
Molex’s Industry 4.0 SaaS suite,technical
system architects,technical
technical priorities,technical
technical debt prioritization,technical
agile development practices,technical
a Scrum framework,technical
multiple concurrent projects,technical
Bachelor’s degree,Non technical
SPA,Non technical
popular web development frameworks,technical
Angular,Non technical
Vue,Non technical
flux pattern,Non technical
Javascript,technical
Typescript,Non technical
Object-Oriented Programming concepts,technical
Excellent problem-solving skills,Non technical
algorithms,Non technical
RESTful APIs,Non technical
preferably Git,technical
Excellent written and verbal communication skills,technical
product architectures,technical
IoT technologies,technical
VueJS,Non technical
Nrgx,Non technical
Redux,Non technical
Vuex,Non technical
 Prioritize project requirements,technical
full SDLC,Non technical
Agile Scrum method,technical
the acceptance criteria,Non technical
QA,Non technical
algorithms,Non technical
the customer's enterprise/global requirements,Non technical
elegant programming,technical
coding standards,technical
advanced algorithms,technical
development frameworks,technical
a thorough and deep understanding,Non technical
the SME level,Non technical
sophisticated global customers,technical
educational workshops,Non technical
attend/conduct regular audits,Non technical
100% compliance,technical
a full-stack programmer,Non technical
Java/Open Source Technologies,technical
Software Algorithm Design,technical
Software Performance Tuning,technical
Software Debugging,technical
Software Development Fundamentals,technical
a quick learner,Non technical
simple and intuitive Product features,technical
written and/or graphical formats,Non technical
Agile – Scrum,technical
Scrum Master,technical
 Java/NodeJs/ReactJs other programming languages,technical
 Microservice architecture,technical
Object-Oriented design skills,technical
 Dev-ops tools,technical
CI-CD pipelines,Non technical
SQL,technical
NoSQL,technical
a cloud-based platform e.g. AWS/Azure,technical
Apache Kafka,technical
Serverless computing,technical
Containers,Non technical
SaaS products,technical
OWASP Top,Non technical
"multi-threading, transaction management, session management, caching, validation",technical
 Proficient understanding,Non technical
Git-based code versioning tools,technical
GitHub,technical
BitBucket,technical
a Bachelor’s degree,Non technical
Master’s degree,technical
Prevent alerts,Non technical
proactively mitigating incidents,Non technical
code tooling,technical
reliability,Non technical
latency,Non technical
Speechmatics,Non technical
the tenets,Non technical
Site Reliability Engineering,technical
the DevOps processes,technical
Speechmatics infrastructure,technical
Unifying deployment methodologies,technical
the visibility,Non technical
production environments,technical
tooling,technical
Migrating legacy VM based deployments,technical
containers,Non technical
Kubernetes,technical
our cloud workload,technical
scalability,Non technical
reliability,Non technical
the individual’s technical skills,technical
a prerequisite,Non technical
Zen learners,Non technical
Zen Learners,Non technical
learners,Non technical
learners' progress,Non technical
common skills shortages,Non technical
Scheduling follow-ups,technical
absences,Non technical
overall effectiveness,Non technical
educational workshops,Non technical
various weekly assignments,Non technical
learners,Non technical
Non-tech background learners,Non technical
externals,Non technical
GUVI'S syllabus,Non technical
norms,Non technical
Qualifications,Non technical
Angular/React.js,Non technical
Node.js,Non technical
Strong proficiency,Non technical
JavaScript,technical
DOM manipulation,Non technical
the JavaScript object model,technical
Familiarity,Non technical
newer specifications,Non technical
EcmaScript standards,technical
Thorough understanding,Non technical
React.js,Non technical
Nodejs,Non technical
popular React.js workflows,Non technical
Flux,Non technical
Redux,Non technical
algorithms,Non technical
JSX,Non technical
Babel.. Experience,technical
Babel,Non technical
Webpack,Non technical
NPM,Non technical
Familiarity,Non technical
RESTful APIs,Non technical
Microservices,Non technical
modern authorization mechanisms(JWT,Non technical
databases,Non technical
NoSQL,technical
MySQL,technical
code versioning,technical
tools(Git,Non technical
Familiarity,Non technical
AWS,technical
Heroku,Non technical
Familiarity,Non technical
Tailwind CSS,Non technical
/Other CSS libraries,Non technical
Familiarity,Non technical
AWS cloud tools,technical
S3,Non technical
Dockers,Non technical
Containers,Non technical
modern CI/CD tools,technical
NodeJs,Non technical
high-throughput message queueing systems,technical
Kafka/Resque,Non technical
microservices,Non technical
CI/CD,Non technical
Docker,Non technical
Kubernetes,technical
" Self-motivated, go-getter",Non technical
networking,technical
CI/CD pipeline software/tools,technical
Jenkins..  Experience,technical
Docker,Non technical
the bank’s surveillance systems,technical
"a fast-paced, agile environment",technical
Your workload,technical
new deliveries,technical
Spark,Non technical
Hadoop Big Data,technical
SQL,technical
an agile setup,technical
our advanced analytics practice,technical
the most exciting data analytics projects,technical
python,technical
very large datasets,Non technical
Spark,Non technical
Impala,technical
Hive,Non technical
Hadoop functioning,technical
workflow/orchestration tools,technical
e.g. Oozie,technical
UWQ,Non technical
teamwork,Non technical
"robust, maintainable & re-usable code",technical
TDD,Non technical
constant refactoring,Non technical
continuous integration environment,technical
CI/CD,Non technical
an Agile environment,technical
specifically Python,technical
Cloud deployment,technical
 BDD,Non technical
a collaborative manner,Non technical
living documentation,technical
~60% Coding,Non technical
cleanroom,Non technical
laboratory environments,technical
controlling hardware,technical
robotic automation,technical
SECS/GEM,Non technical
 Excellent verbal and written communication skills,technical
 High proficiency,Non technical
systematic reporting processes,technical
timely delivery,technical
ad hoc reporting,technical
analytics,technical
 Converts complex data,technical
formats,Non technical
various audiences,Non technical
Business Intelligence Architect,technical
Business Analysts,technical
actionable reporting solutions,technical
key stakeholders,technical
 Troubleshoots,Non technical
resolutions,Non technical
executing,Non technical
quality assurance,technical
Vulcan’s data platform,technical
the company’s growing data warehouse environment,technical
system integrations,technical
 Review existing analytic processes,Non technical
 Bachelor’s degree,Non technical
ERP software design,technical
assigned application’s design concepts,technical
 Excellent verbal and written communication skills,technical
an ERP reporting,technical
Oracle,technical
 Strong analytical background,Non technical
an aptitude,Non technical
 Strong verbal and written communication skills,technical
 Excellent analytical and problem-solving capabilities,Non technical
departmental functions,Non technical
-,Non technical
high volume workload situations,technical
analytics tools,technical
your analyses,Non technical
visual narratives,technical
your-sleeves,Non technical
integrations,technical
the design specifications,technical
SOPs,Non technical
enhancements,Non technical
specifications,Non technical
appropriate validation protocol,technical
techniques and documentation methods,technical
software documentation,technical
user manuals,technical
implementations,Non technical
functionality,technical
application functionality,technical
database integrity,technical
data quality assurance and data export,technical
organizational SOPs,technical
departmental standards,technical
the modification,Non technical
company SOPs,Non technical
IVR Services,technical
consultants,Non technical
project specifications,technical
departmental processes,Non technical
applicable company-sponsored training,technical
Bachelor’s degree,Non technical
Coursework,Non technical
JEE,Non technical
JBoss,Non technical
JSF,Non technical
Web 2.0 technologies,technical
PowerShell,Non technical
RESTful API Modeling Language,technical
RAML,Non technical
Swagger,Non technical
Java Enterprise Applications,technical
relational databases,Non technical
SQL,technical
SQL Server Integration Services,technical
SSIS,Non technical
SSRS,Non technical
QA process,technical
Proven problem-solving abilities,Non technical
a self-starter,Non technical
exceptional organizational skills,technical
very strong analytical and problem-solving skills,Non technical
excellent verbal and written communication skills,technical
prioritization,Non technical
urgency,Non technical
Strong and effective inter-personal and communication skills,technical
the API platform,technical
TDD,Non technical
-,Non technical
dependencies,Non technical
any system enhancement,technical
the Automation Architect,technical
close to 100% automation,technical
RCA,Non technical
the learnings,Non technical
upgradesBasic Qualifications,Non technical
/B.Tech,Non technical
ME/M.Tech/MS degree,Non technical
Solid proficiency,Non technical
REST based APIs,technical
Hibernate,Non technical
Oracle,technical
Thorough understanding,Non technical
Algorithms,Non technical
Problem solving,Non technical
Computer Science Fundamentals,technical
Excellent interpersonal skills,Non technical
written and verbal communication skills,technical
analytical ability,Non technical
skillsPreferred Qualifications/Skills,Non technical
FinTech domain,technical
Agile scrum methodologies,technical
DevOps processes,technical
RDBMS,Non technical
data modelling,technical
Perforce,Non technical
Version1 tools,technical
both regional and global deliveries,technical
the technical stack,technical
effective problem-solving,Non technical
strong analytical and technical skills,technical
integrated scalable solutions,Non technical
-,Non technical
REST frameworks,technical
APIs,Non technical
ETL,Non technical
frameworks,technical
delivery SLAs,technical
system documentation,technical
Core Java development experience,technical
Core Java concepts,technical
equivalent object oriented languages,technical
#,Non technical
 RDBMS experience,technical
Sybase,Non technical
UDB,Non technical
complex queries,Non technical
multi-table joins,Non technical
aggregate functions,Non technical
strong and efficient SDLC practices,Non technical
 Systematic problem-solving approach,Non technical
automation,technical
 Strong interpersonal skills,Non technical
Javascript applications,technical
HTML5,technical
CSS2,Non technical
appropriate technical/analytical skills,Non technical
obstacles,Non technical
setbacks,Non technical
 Teamwork,Non technical
a clear and concise manner,Non technical
AWS,technical
data pipelines,technical
CI/CD practices,Non technical
Docker,Non technical
Airflow,Non technical
software implementation specs,technical
very high-quality coding practices,Non technical
Mentor,Non technical
B.Tech./B.E./M.Tech./MCA,Non technical
Java/Scala,Non technical
Python,technical
good CS fundamentals,technical
Hadoop/Spark,Non technical
ETLs,Non technical
SQL,technical
RDBMS and/or NoSQL database technologies,technical
AWS experience,technical
standout,Non technical
MLOps,Non technical
fundamental ML/statistical models,Non technical
databases,Non technical
networking systems,technical
an enthusiastic and high energy worker,technical
"a vibrant, creative and fun work environment",Non technical
troubleshooting,Non technical
our devops,technical
PHP,Non technical
Mysql,technical
Javascript,technical
HTML5,technical
SQL,technical
algorithms,Non technical
tuning,technical
 A flexible self-starter,technical
new and varied technologies,technical
scrum/agile teams,Non technical
 Bachelor's Degrees,Non technical
problem-solving skills,Non technical
"high quality, maintainable code",technical
A good grounding,Non technical
Python,technical
JavaScript,technical
fundamentals,technical
an Agile development environment,technical
Curiosity,Non technical
DevOps tools,technical
e.g. Jenkins,technical
Sonar,Non technical
CI/CD principles,Non technical
React/Angular frameworks,technical
Financial Services and/or Software Consulting experience,technical
Fluency,Non technical
Onboarding or Technical Consultant,technical
SaaS,technical
an API,technical
backend/front end systems,technical
Strong business acumen,technical
customers/prospects,Non technical
both internal and external stakeholders,Non technical
an ambiguous and ever-changing environment,Non technical
your workflow,technical
large-scale proprietary software,technical
the product roadmaps,technical
technical specifications,technical
conceptual design,technical
supervision,Non technical
Extensive latitude,Non technical
mentor,Non technical
less experienced peers,Non technical
Agile ceremonies,technical
Expert level Java programming skills,technical
full stack development experience,technical
modern UI frameworks,technical
React/Angular,Non technical
any cloud technologies and cloud deployments,technical
Agile Project development methodology,technical
those methodologies,Non technical
Presentation and mentoring skills,Non technical
DevOps,technical
tooling,technical
interruption,Non technical
CI/CD processes,Non technical
Provision infrastructure,technical
Terraform,Non technical
automation,technical
anomalies,Non technical
monitoring and notifications systems,technical
call rotations,Non technical
DevOps,technical
DevOps technologies,technical
CI/CD,Non technical
monitoring/notification,Non technical
provisioning/administering machines,technical
the latest DevOps practices,technical
tooling,technical
 AWS experience,technical
VPC,Non technical
EC2,Non technical
IAM,technical
RDS,Non technical
Lambda,technical
shell scripting,Non technical
Linux,technical
networking problems,technical
CI/CD,Non technical
Git,technical
Docker,Non technical
Python,technical
containerization technologies,technical
Jenkins,Non technical
coding standards,technical
/B Tech/MCA,Non technical
Excellent written and verbal communication skills,technical
proficiency,Non technical
Microservices,Non technical
Java Swing,technical
Angular,Non technical
HTML5,technical
CSS3,Non technical
testing methodologies,technical
TDD/BDD,Non technical
Cucumber,Non technical
Junit,Non technical
Mockito,Non technical
Karma,Non technical
Object Oriented Design,technical
OOD,Non technical
OOP,Non technical
Unified Modeling Language,technical
UML,Non technical
Scaled Agile environment,technical
CI/CD,Non technical
 Familiarity,Non technical
Configuration Management systems,technical
Defect Tracking tools,technical
Debuggers,Non technical
regulatory Std,Non technical
Xray,Non technical
issue fixes,Non technical
a timely mannerAbility,Non technical
small and medium sized tasks,Non technical
Bachelor's / Graduation / Equivalent,Non technical
"high-performance, scalable, robust and reliable server applications",technical
key Expedia initiatives,technical
functional specifications,technical
"logical, component-based technical designs",technical
Prototype creative solutions,Non technical
minimum viable products,technical
overcall code quality,technical
good object-oriented programming techniques,technical
an agile development team,technical
automated unit,technical
our continuous integration pipelines,technical
other passionate developers,Non technical
various other Expedia offices,Non technical
Mentor junior members,Non technical
our DevOps approach,technical
enterprise Java software development,technical
Spring MVC frameworks,technical
RESTful APIs,Non technical
SOA,technical
Proficiency,Non technical
HTML/CSS/JavaScript/jQuery,Non technical
Selenium,Non technical
UI automated tests,technical
Cucumber,Non technical
Scala,Non technical
CI/CD principles,Non technical
written and verbal form,Non technical
Outstanding problem-solving skills,Non technical
Dedication,Non technical
a self-motivated desire,Non technical
"A collaborative, team orientated attitude",Non technical
Java software development,technical
AWS,technical
API development experience,technical
Splunk,Non technical
Bachelor’s degree,Non technical
"scalable, robust, testable, efficient, and easily maintainable code",technical
architectural and design decisions,technical
an efficient micro services,technical
Golang,Non technical
database bottlenecks,technical
Microservices architecture added value,technical
Familiarity,Non technical
OAuth,Non technical
JWT,Non technical
SSO,technical
Authentication,Non technical
AWS,technical
Docker,Non technical
Kubernetes,technical
Pods,Non technical
Meshes,Non technical
MySQL,technical
Snowflake,Non technical
MongoDB,Non technical
SQL,technical
", GIT/SVN repository",technical
Jenkins Build,Non technical
Very good verbal and written communication,technical
stakeholders,Non technical
an ATG Developer,technical
eCommerce solutions,technical
the ATG eBusiness platform,technical
Java-based services,technical
Oracle Commerce,technical
ATG,Non technical
Java EE,technical
ATG,Non technical
J2EE,Non technical
EJB,technical
JSP,Non technical
Oracle,technical
SQL,technical
HTML,Non technical
XML,technical
UML,Non technical
all phases,Non technical
a project's life cycle,technical
Advanced proficiency,technical
Python,technical
ML frameworks,technical
toolkits,Non technical
NLP,Non technical
Transformer,Non technical
liaison,Non technical
HCM Machine Learning Engineers,technical
HCM ML,technical
HCM ML features,technical
frameworks,technical
REST API calls,technical
user behavior data collection framework,technical
Workday's object oriented XpressO development environment,technical
the HCM ML codebase,technical
Python,technical
Workday business logic,technical
ML backend,technical
our CD pipeline,technical
 Mentor,Non technical
pairing,Non technical
"performant, scalable and resilient applications",Non technical
one or more Object Oriented languages,technical
automated tests,technical
the testing pyramid,technical
object-oriented analysis,technical
REST APIs,Non technical
metadata-driven definitional development,technical
Python,technical
modern UI technologies,technical
 API and/or webservice ownership experience,technical
an object-oriented or functional language,technical
a Linux/Unix environment,Non technical
database internals,technical
query processing,technical
an object-oriented or functional language,technical
a Linux/Unix environment,Non technical
database internals,technical
query processing,technical
MS/PhD,Non technical
Good grasp,Non technical
SQL,technical
a fast-moving Agile Scrum Team,technical
UX,Non technical
SDET teams,Non technical
enhancements,Non technical
ambitious problems,Non technical
other specialists,Non technical
prioritizing,Non technical
Workday's proprietary software,technical
REST APIs,Non technical
highly scalable collaboration platform,technical
UI,technical
our ever evolving metrics,technical
unfamiliar technology,technical
robust and quality code,technical
reliable automated tests,technical
Bachelor's Degree,Non technical
full stack production systems,technical
scalability,Non technical
reliability,Non technical
tradeoffs,Non technical
distributed and concurrent systems,technical
the tradeoffs,Non technical
React.js,Non technical
CSS,Non technical
browser limitations,Non technical
object oriented design,technical
an Agile/Scrum environment,Non technical
functional programming,technical
NodeJS,Non technical
innovative technology solutions,technical
technical capability/ feasibility,technical
client white-boarding sessions,Non technical
workshops,Non technical
 Produce deliverables,Non technical
JVM,Non technical
Scala,Non technical
ASP.NET,technical
NuGet Development,technical
Azure Development,technical
Azure DevOps,technical
Octopus CD,technical
common JavaScript libraries/frameworks,technical
Javascript,technical
Typescript,Non technical
ES6,Non technical
RESTful web services,technical
agile methodologies,technical
QA processes,Non technical
complex security environments,technical
troubleshooting contexts,Non technical
external vendors,technical
suppliers,Non technical
perimeter security,technical
EY security systems,technical
a Self-starter,Non technical
direct supervision,technical
"clear, precise descriptive language",technical
"infrastructure implementation/management, service/operations management",technical
related new and emerging technologies,technical
Point Firewall,technical
Firewall automation platformZscaler Cloud,technical
preferably VersaCloud technologies,technical
SAML Integrations,technical
Azure ADSonicWall/Pulse Secure/Prisma VPN,technical
technologiesIn depth understanding,Non technical
networking concepts,technical
IPv4,Non technical
Bachelor's degree,Non technical
an industry accreditation,technical
Demonstrable experience,technical
Security related Professional qualifications,technical
[Check Point CCSE,technical
Blue Coat BCCPA,technical
Service management qualifications,technical
[ITIL Foundation,technical
a Full-Stack Test Engineering team,technical
an OKR driven team,Non technical
Leverage test automation,technical
CI/CD objectives,Non technical
an agile team,technical
business analysts,technical
existing automation frameworks,technical
a face-paced environment,Non technical
Quality assurance experience,technical
JavaScript,technical
JavaScript automation framework,technical
iOS/Android automation frameworks,technical
the automation framework,technical
demos,Non technical
automation,technical
FFN Talks,Non technical
key test engineering initiatives,technical
preliminary engineering designs,technical
topologies,Non technical
peer-reviewed code standards,technical
approved repositories,Non technical
quality assurance,technical
validation,technical
-,Non technical
mortems,Non technical
unsuccessful releases,Non technical
Kubernetes community,technical
Bachelors' degree,Non technical
Proficiency,Non technical
an OO language,technical
a public cloud provider,technical
(AWS,technical
GCP,technical
Kubernetes,technical
containerized applications,Non technical
multi-threaded architecture,technical
relational or NoSQL solutions,technical
 Proficiency,Non technical
multiple domains,technical
networking models,technical
their strengths,Non technical
deficiencies,Non technical
run-time optimization,technical
 Bachelor's degree,Non technical
NodeJS,Non technical
containerization,Non technical
deployment,technical
Linux,technical
Docker,Non technical
Kubernetes,technical
AWS,technical
Azure,technical
security vulnerabilities,technical
Microsoft Defender product,technical
new fuzzers,technical
vulnerabilities,Non technical
mitigations,Non technical
other hardening mechanisms,Non technical
Research new security vulnerability patterns,technical
penetration testing,technical
MSRC,Non technical
detections,Non technical
security toolset,technical
Static Analysis,technical
security verification automation,technical
release pipelines,technical
subject matter expertise,technical
Accessibility,Non technical
Bachelors,Non technical
Python,technical
vulnerability patterns,technical
system/OS/driver code,technical
Linux,technical
MacOS,Non technical
static analyzers,Non technical
Security Researcher,technical
Penetration Tester,technical
Security Assurance- OR - Academic equivalent experience,technical
an undergrad degree,Non technical
Malware Researchers,technical
Experience authoring detections,technical
static analyzers,Non technical
security vulnerability patterns,technical
adherence,Non technical
Secure Development Lifecycle,technical
SDL,Non technical
our distributed PKI infrastructure,technical
reliability,Non technical
proper visibility,Non technical
oversight,Non technical
enhancements,Non technical
automation,technical
containers,Non technical
hardware security modules,technical
Good general Linux & networking troubleshooting skills,technical
highly regulated environments,Non technical
auditors,Non technical
A collaborative approach,Non technical
Automation/tooling knowledge,technical
Vault,technical
Terraform,Non technical
Docker,Non technical
Consul,technical
JSON,Non technical
YAML,Non technical
bash,technical
Python,technical
Strong technical documentation skills,technical
networking,technical
ingress-related components,Non technical
scaling,Non technical
resiliency,Non technical
our core networking components,technical
a custom proxy,technical
mentor,Non technical
a globally distributed team,Non technical
both SaaS,technical
time-boxed software releases,technical
roadmaps,Non technical
lead prioritisation,technical
a fast-paced engineering team,technical
collaborative decision-making,Non technical
staffing requirements,technical
mentorship,Non technical
regular performance evaluations,technical
computer science fundamentals,technical
promotions,Non technical
terminations,Non technical
A compassionate approach,Non technical
humour,Non technical
 Analyze business requirements,technical
executable tasks,Non technical
new BDR capabilities,technical
usability,Non technical
existing BDR capabilities,technical
optimal solutions,Non technical
prevention strategies,technical
 Strong problem-solving skills,Non technical
 Calm and methodical approach,Non technical
databases,Non technical
SQL,technical
databases,Non technical
production environments,technical
Python,technical
Perl,Non technical
the major Cloud Providers,technical
AWS,technical
Azure,technical
GCP,technical
Ansible,Non technical
Docker,Non technical
Kubernetes,technical
an automated DevOps release management pipeline,technical
tooling,technical
a Continuous Integration/Continuous Delivery mindset,technical
DevOps engineers,technical
cloud architects,technical
ALM tools,technical
the right tooling,technical
a fully automated release management pipeline,technical
the automated build process,technical
environment setups,Non technical
testing scripts,technical
deployments,Non technical
production operational metrics,technical
debugging information,technical
practical automation solutions,technical
custom modules,technical
automation issues,technical
a trusted automation,technical
tooling,technical
insights,Non technical
assignments,Non technical
deliverables,Non technical
target timeframes,technical
KPIs,Non technical
DevOps processes,technical
Bachelor’s degree,Non technical
full application stacks,technical
a leading cloud platform provider,technical
highly preferred (Microsoft Azure,technical
AWS,technical
(IaaS,Non technical
PaaS,technical
Azure DevOps & Developing templates,technical
scripts,Non technical
Docker,Non technical
container orchestration,technical
Kubernetes,technical
Mesos,Non technical
Docker Swarm,Non technical
different databases,Non technical
SQL Server,technical
open-source databases,Non technical
Mongo DB,technical
NoSQL,technical
PowerShell / Perl / Ruby / Python,technical
Intelligence/Data-warehousing products,technical
Informatica products,technical
instrumentation,Non technical
the Continuous Integration / Continuous Deployment pipeline,technical
Git/SVN,Non technical
Maven/Ant,Non technical
automation/configuration management,technical
DevOps tools,technical
Puppet,Non technical
New Relic,technical
MS Azure DevOps Engineer Expert,technical
similar certification,Non technical
DevOps Specialist,technical
Azure PaaS,technical
IaaS,Non technical
Azure storage solutions,technical
app service environments,technical
App Gateway,technical
KeyVaults,Non technical
Azure DevOps,technical
Git,technical
similar development repositories,technical
orchestration,technical
Docker,Non technical
Kubernetes,technical
OpenShift,technical
automation,technical
PowerShell,Non technical
other scripting languages,Non technical
instrumentation,Non technical
pipelines,Non technical
automated testing,technical
deployments,Non technical
Fortify,Non technical
SonarQube,Non technical
these pipelines,Non technical
scalability,Non technical
DevSecOps security practices,technical
regular security patching,technical
privileged account management,technical
SSL certificate updates,Non technical
encryption,Non technical
Deloitte security standards,technical
VigilantShield,Non technical
HP Fortify,technical
SCA,Non technical
Qualys,Non technical
encryption,Non technical
IPsec,Non technical
VPNs,Non technical
routing,technical
firewalls,Non technical
proxy services,technical
LAN/WAN connectivity,Non technical
continuous integration,technical
DevOps,technical
SRE,Non technical
CICD,Non technical
"Agile, Lean",technical
Linux development environments,technical
#NAME?,Non technical
network programing,technical
relational databases,Non technical
MS SQL,technical
MySQL,technical
PostgreSQL,Non technical
GoLang,Non technical
Python,technical
diploma,Non technical
Computer Science or Software Engineering disciplines,technical
Hinge Health software engineers,technical
small interdisciplinary teams,Non technical
Hinge Health applications,technical
feature bloat,Non technical
battery drain,Non technical
thoughtful and constructive code reviews,technical
"small, testable pieces",Non technical
business-meaningful milestones,Non technical
Domain Expertise,technical
Fluency,Non technical
React Native or similar cross-platform mobile development tools,technical
Problem Solving,Non technical
Business intuition,technical
thoughtful trade offs,Non technical
"Clear, inclusive communication",technical
both teammates,Non technical
tenacity,Non technical
humility,Non technical
new functionality,technical
the Hinge Health mobile application,technical
stakeholders,Non technical
your team’s strategic roadmap and influence company strategy,technical
sprint,Non technical
your team’s continuous improvement,Non technical
blameless retros,Non technical
insights,Non technical
mentorship,Non technical
your teammates,Non technical
an agile team environment,technical
Full Stack Mobile,technical
React Native and significant experience,technical
the tech stack,technical
inception,Non technical
deployment,technical
varying technical expertise,technical
stakeholders,Non technical
technical excellence,technical
multiple domains,technical
Security metrics delivery,technical
metrics,technical
threat modeling,technical
vulnerability mitigation,technical
CCPA compliance management,technical
outreach,Non technical
primarily Agile/Scrum,Non technical
teamwork skills,Non technical
vulnerability impact,technical
mitigation techniques,Non technical
data classifications,technical
security architectures,technical
security architectures,technical
Strong analytical thinking,technical
stakeholder expectations,Non technical
front- and back-end architectures,technical
databases,Non technical
remediation,Non technical
OWASP Top 10 security risks,technical
secure authentication,Non technical
authorization architectures,technical
specifications,Non technical
penetration testing,technical
Node,Non technical
Ruby,Non technical
rails application stacks,technical
GraphQL,Non technical
API's a plus,technical
javascript,technical
ruby,Non technical
python,technical
threat modeling,technical
secure coding,Non technical
authentication,Non technical
cryptography,Non technical
vulnerability assessment,technical
Bachelor’s degree,Non technical
deploys,Non technical
implements,Non technical
"(e.g., chatbots",technical
automation scripts,technical
utilities,Non technical
dataflow programming,technical
#NAME?,Non technical
an existing AI framework,technical
"e.g., TensorFlow",technical
own scripts,Non technical
algorithms,Non technical
Python,technical
MLOps,Non technical
 Experience porting code,technical
AWS Sagemaker,technical
REST APIs,Non technical
 Familiarity,Non technical
model registry,technical
MLFlow,Non technical
 Collaborative teamwork,Non technical
weekly sprints,Non technical
an entrepreneurial mindset,Non technical
hybrid architecture,technical
remote Linux-based compute workstations,Non technical
an Agile team,technical
"quality, scalable products",technical
DevOps,technical
our codebase,Non technical
"a modern, testable, maintainable platform",technical
API design,technical
CI/CD,Non technical
Scrum techniques,Non technical
both UI and backend services,technical
automated unit tests,technical
performant software,technical
a DevOps mindset,technical
Billtrust,Non technical
both tech and non-tech audiences,technical
Mentor,Non technical
scalable software,technical
"a fast-paced, product-centric environment",Non technical
Mastery,Non technical
HTML5,technical
"CSS/Sass, Angular/Javascript",Non technical
REST APIs,Non technical
Agile techniques,technical
testable application design principles,technical
Karma,Non technical
NUnit,Non technical
SQL,technical
databases,Non technical
SQL Server,technical
MySQL,technical
NoSQL data stores,technical
MongoDB,Non technical
DynamoDB,Non technical
Proficiency,Non technical
Well-honed skills,Non technical
Git,technical
AWS,technical
Azure,technical
Bachelor degree,Non technical
scalable software design,technical
QA,Non technical
Agile/SCRUM SDLC,Non technical
Bachelor's degree,Non technical
Android SDK,technical
especially REST/JSON APIs,Non technical
GraphQL,Non technical
operationalization,Non technical
analytics,technical
ML,Non technical
robust pipelines,Non technical
concept deployment,technical
accelerators,Non technical
continuous integration,technical
scalable architectures,technical
(AWS,technical
Azure,technical
GCP,technical
 Proficiency,Non technical
Python,technical
SQL,technical
open source microservices architecture,technical
Docker,Non technical
Kubeflow,Non technical
Kubernetes,technical
technical and non-technical audiences,technical
"e.g., Applied Mathematics",technical
 Certifications,Non technical
a cloud service provider,technical
DevOps,technical
the Microsoft Azure Data Stack,technical
"(ADFv2, Azure SQL DB",technical
Azure SQL Datawarehouse,technical
Azure Data Lake,technical
Azure Databricks,technical
Cosmos DB,technical
Azure data migration patterns,technical
Agile methodology experience,technical
CI/CD,Non technical
Azure DevOps experience,technical
Customer/client-facing consulting skills,technical
large engagements,Non technical
Proven experience managing projects,technical
the entire project lifecycle,technical
multi-phase/multi-dimensional/multi-resource projects,technical
feasibility,Non technical
migrating customer solutions,technical
non-Microsoft platforms,Non technical
one or more vertical industries,technical
QA,Non technical
Agile/SCRUM SDLC,Non technical
Bachelor's degree,Non technical
Android SDK,technical
especially REST/JSON APIs,Non technical
GraphQL,Non technical
QA,Non technical
Leverage experience developing software,technical
Agile/Scrum SDLC,Non technical
Bachelor's Degree,Non technical
Agile environment,technical
Scrum,Non technical
data pipelines,technical
mappings,Non technical
prototypes,Non technical
data integrations,technical
Salesforce Marketing Cloud,technical
Braze,Non technical
Google Analytics,technical
BigQuery,Non technical
Redshift,Non technical
AWS,technical
Movable Ink,Non technical
SFTP,Non technical
REST API,technical
Webhooks,Non technical
user documentation,technical
Quality Assurance and data validation procedures,technical
Bachelor's degree,Non technical
Martech data engineering,technical
SQL,technical
performance tuning,technical
ETL pipelines,Non technical
APIs,Non technical
REST APIs,Non technical
SOAP APIs,Non technical
marketing automation platforms,technical
preferably Braze,Non technical
Salesforce Marketing Cloud,technical
Leanplum,Non technical
Google Analytics Experience,technical
Comfortable communicating technical/complex information,technical
Exceptional communicator,Non technical
innovative solutions,Non technical
an elastic big data analytics platform,technical
the AWS cloud,technical
"extremely high-volume, fault-tolerant, scalable backend systems",technical
reliability,Non technical
our backend systems,technical
robust code,technical
its robustness,Non technical
automated tests,technical
terabytes,Non technical
Kafka,Non technical
K8S,Non technical
RDS,Non technical
Redis,technical
ElasticSearch,Non technical
Cassandra,Non technical
 Multi-threaded object oriented programming,technical
 B.S,Non technical
real-time streaming workflow,technical
 Object-oriented programming,technical
Scala,Non technical
 Algorithms,Non technical
a broader technical knowledge,technical
integrative thinking,technical
interdependencies,Non technical
"complex, novel, and non-recurring problems",Non technical
the consultative or leadership responsibilities,Non technical
product development initiatives,technical
new cutting-edge display technologies,technical
": FreeSyncTM, HDR, high resolution displays",Non technical
new ASIC,technical
driver maintainability,Non technical
testability,Non technical
diagnostic tools,technical
documentation,technical
deployment,technical
iterative refinement,Non technical
Salesforce,technical
business analysts,technical
scalable solutions,Non technical
our homegrown application and business technology systems,technical
Salesforce,technical
the force.com platform,technical
Visualforce,technical
Apex,Non technical
Salesforce sales cloud and service cloud experience,technical
Apex,Non technical
Visualforce,technical
 Salesforce Platform Developer,technical
Salesforce Domain Architect certifications,technical
MuleSoft,technical
Snaplogic,Non technical
Workato,Non technical
APIs,Non technical
 Thorough understanding,Non technical
SaaS data models,technical
design considerations,technical
